Section,Code,Title,Type,Last Revised,Last Reviewed,URL
A. School District Organization,AA,School District Legal Status,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=Gra5xXDOm37IFSoD9Bzz6g==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,AAA,School District Liability Exemptions,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=iplususCsTxaL3ZOegryrBv3A==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,AB,School Board Legal Status,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=BbUGKgxNUyCplusQGIyjs3yOA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABA,Authority,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=dSLXslshRWclplusgf0NKtHDClEQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABB,Board Powers and Duties,P,06/11/2026,06/11/2026,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=rYFKIHAxhbFW7fWeLvg0cA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABBA,General Home Rule Authority,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=d3RQZXLgGDdnCXbENplusbwhA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABC,Board Member Legal Status,P,12/10/2024,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=u42uVFDmN8TYoiplus3BJPxlQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABCA,Number of Board Members,P,07/26/2016,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=YJSnK7fGyBL4VOIplusVskahw==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABCB,Board Members Qualifications,P,06/01/2000,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=9JNZG5XOOGKsY4p7QGeUnA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABCC,Board Member Term of Office,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=l3cV4aID6FNPouJ3NZwIplusA==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
A. School District Organization,ABCD,Method of Election,P,02/12/2007,,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36031793&revid=YSGVR4yvqjcpowgtbW20vQ==&ptid=9slshUHzTHxaaYMVf6zKpJz3Q==&secid=Nv0l17DudLOYg9watplus9ahw==&PG=6&IRP=0&isPndg=false
